Termo;Significado;Substituição
A coisa tá preta;O termo associa a palavra “preto” com uma situação desconfortável, desagradável, difícil ou perigosa.;Situação desconfortável, desagradável, difícil ou perigosa
A dar com pau;Tem origem nos navios que traziam os povos escravizados, quando algumas pessoas preferiam morrer de fome a serem escravizadas. Assim elas eram alimentadas à força com um tipo de colher de pau grande, daí vem a expressão “a dar com pau”.;Bastante, grande quantidade
Amanhã é dia de branco;Expressão utilizada para se referir a dia de trabalho, responsabilidade e compromissos. Isso porque, antigamente, o trabalho dos escravizados não era considerado trabalho e essa ideia permanece até hoje.;Amanhã é dia de trabalhar
Até tenho amigos que são negros;Frase de defesa quando se aponta alguma atitude ou fala racista. Não utilizar. Repense seu comportamento.;Vamos repensar nosso comportamento?
Cabelo de Bombril;Termos racistas usadas como bullying que depreciam a imagem e o cabelo de pessoas negras. Falar mal das características dos cabelos afro também é racismo.;Cabelo crespo, cacheado, afro
Cabelo duro;Termos racistas usadas como bullying que depreciam a imagem e o cabelo de pessoas negras. Falar mal das características dos cabelos afro também é racismo.;Cabelo crespo, cacheado, afro
Cabelo ruim;Termos racistas usadas como bullying que depreciam a imagem e o cabelo de pessoas negras. Falar mal das características dos cabelos afro também é racismo.;Cabelo crespo, cacheado, afro
Chuta que é macumba!;;
Coisa de preto;Usado para descrever um serviço mal feito. O termo é carregado de preconceito, uma vez que descreve as pessoas negras como incapazes e preguiçosas.;Trabalho errado
Como você faz para lavar esse cabelo/trança?;Associar os cabelos cacheados, crespos, trançados ou com dreads com sujeira, de quem não lava.;Não faça esse tipo de comentário
Cor de pele;A expressão ficou conhecida para descrever a cor rosa-claro, fazendo referência à pele de pessoas brancas. Porém, como já é sabido, não existe apenas uma cor de pele, vivemos uma sociedade mista e plural.;Rosa-claro ou bege
Cor do pecado;Utilizada erroneamente como elogio, se associa ao imaginário da mulher negra sensualizada. Em uma sociedade pautada na religião, pecar não é positivo, ser pecador é errado, e ter a pele associada ao pecado significa que ela é ruim.;
Criado-mudo;Você sabia que o nome dado a este móvel faz referência aos criados (geralmente escravizados) que deviam segurar objetos para seus senhores? Como estes criados não podiam falar, eram considerados mudos, daí o termo criado-mudo.;Mesa de cabeceira
Denegrir;Tem como real significado “tornar negro”, “escurecer”. É usado para difamar ou acusar injustiça por outra pessoa, sempre usado de forma pejorativa, ou seja, utilizar esta palavra pejorativa é extremamente racista.;Difamar, desqualificar, desonrar, desabonar, rebaixar
Disputar a nega;;
Doméstica;Domésticas eram as mulheres negras que trabalhavam dentro da casa das famílias brancas e eram consideradas domesticadas.;Empregada, funcionária, trabalhadoras do lar
Escravo;Este termo trata os africanos como passivos e desprovidos de subjetividade. Os africanos que vieram para o Brasil eram pessoas, reis, rainhas, camponeses, homens e mulheres escravizados contra a sua vontade.;Pessoas escravizadas (sugere-se substituir escravidão por escravização)
Estampa étnica/exótica;No mundo da moda, a estampa tem reconhecimento apenas quando criada segundo os padrões europeus. Quando o desenho vem da África, de acordo com essa visão, torna-se “étnico”.;Estampa africana
Fazer nas coxas;Acredita-se que a expressão vem da técnica utilizada pelos escravizados para fazer telhas. Por serem artesanais e seguirem os formatos dos corpos, as peças não se encaixaram bem umas nas outras, sendo consideradas mal feitas.;Mal feito, malfeito
Humor negro;Usam para descrever um tipo de humor ácido e com piadas de mal gosto com temas mórbidos, sérios ou tabus com tom politicamente incorreto.;Humor ácido
Indiada;Utilizado para descrever um passeio, atividade ou viagem que não deu muito certo, algo trabalhoso, difícil ou até mesmo chato. O termo é pejorativo, pois “indiada” se refere a um grupo ou conjunto de índios.;Atividade ruim, viagem chata
Índio;O termo índio é genérico, considerando os povos indígenas como iguais, sem suas especificidades linguísticas, culturais e até do tempo de contato com sociedades não indígenas.;Indígena (que significa “originário, aquele que está ali antes dos outros” e considera a diversidade dos povos originários)
Inveja branca;Associa o “negro” ao negativo, a algo que faz mal e o “branco” ao que é positivo, uma inveja boa, um sentimento do bem.;Inveja (inveja é inveja; troque por um elogio)
Judiaria;Do verbo “judiar”, significa tratar como os judeus foram tratados. É usado como sinônimo de fazer sofrer, atormentar, maltratar ou ainda com tom de pena. A palavra possui uma carga negativa e preconceituosa muito grande.;Sofrimento, maltrato
Lista negra;Usada para descrever pessoas que, por alguma razão negativa, estão excluídas de certos grupos, ou ainda que uma pessoa está sendo perseguida. Mais uma vez a palavra “negra” é usada como algo negativo.;Lista proibida/restrita
Magia negra;A expressão “magia negra” é corriqueiramente associada a rituais ou práticas religiosas que são socialmente rejeitadas tanto pelo seu conteúdo quanto pelo seu modo de ação. A expressão concentra dupla discriminação.;Rituais proibidos ou práticas religiosas proibidas
Meia tigela;Os negros que trabalhavam à força nas minas de ouro nem sempre conseguiam alcançar suas metas. Quando isso acontecia, recebiam, como punição, apenas metade da tigela de comida e ganharam o apelido de “meia tigela”, que hoje significa algo sem valor, medíocre.;Medíocre, mal feito
Mercado negro;Muito usado para se referir a um sistema de compras e vendas clandestino, ilegal.;Mercado clandestino
Moreno(a);Pessoas acreditam que chamar alguém de negro ou preto é ofensivo. Falar “morena” ou “mulata”, embranquecendo a pessoa, “amenizaria” o “incômodo”. Você deve se referir a pessoa pelo nome ou questioná-la como ela prefere ser descrita.;
